start	end	text
0	5720	はいどうも心がみです 東電です
5720	12600	今週も1週間振り返っていきたいとおもいます 先週ステーブルディフュージョンの話をして
12600	20400	まあ絵作るの楽しいって言ってたんですけど まあ絵作れてチャットGPTも契約してコパイロットあるんだったら
20400	32800	古き良きウカガガガ作れるっていう発想にたどり着けまして そもそもこのウカガガガとチャットGPTの組み合わせって非常に相性が良くてですね
32800	40400	そもそもウカガガガが何かっていうところから行くと デスクトップマスコットアプリで
40400	46080	モニターの右下とかにキャラクターがいていろんなことをくっちゃべってくれる そういうアプリなんですけど
46080	56680	従来は作成者が頑張っていっぱい脚本なり台本なりを書いてですね キャラクターがいろいろ喋るパターンをめちゃくちゃ頑張って増やしていく
56680	70440	小説書きみたいなことをやらないといけなかったんですけど チャットGPTのおかげで特定のペルソナにのっとった形でいろんな応答を自動で生成して返してくれるということになったので
70440	79080	ウカガガガのキャラクター属性だけ渡してあげれば ちゃんとGPTから必要な回答が得られるというところでこれを組み合わせるっていうのが
79080	86680	とても幸せ高そうだという話がありますと 誰かやってないのかなと思ったらすでにやってる人はいてですね
86680	97960	そのキャラクターをちょっと申しながら自分なりの秘書が欲しくなったので その辺の秘書の開発をやってますよという紹介だけですけれども
97960	102520	はい はいえーっと全人類が知っているウカガガ
102520	114640	なんか発表されてから25周年らしいですけども まあ確かにはいえーっとチャットGPTと確かにあのなんですか
114640	122920	組み合わせがいいというか 自動的にそれっぽい会話を返してくれるっていうのはウカガガが見てた夢なのでそれを実現する
122920	131280	っていうのは非常に良いのかなと思います ちなみになんですかどういう感じの音をしてくれる感じしたんですか
131280	141160	えっと 元々あったやつは兄弟の関係で妹キャラみたいな設定だったんで日常会話を返すみたいな
141160	149480	ペースな像が組み込まれてたんですけど 私としてはもうあの普段から仕事遣いというかっていう形でサポートしてくれる人が
149480	159560	欲しいなと思ったので普通に新入社員で情報工学科大卒の女性みたいな位置づけにして
159560	165760	えっと割ときっちり丁寧にシンプルに回答する キャラクター
165760	174360	必勝的な回答を期待するみたいな感じの属性をつけていろいろ 作り込んでいる状態ですね
174360	181560	でまぁまだ作りかけなのでシームレスな連携はこれからではあるんですけど それを
181560	190320	使ってやっていきたいのはチャット gpt の画面て ラインのチャットみたいな感じで流れていくんでまぁそれそれで相手を感じられ
190320	196880	はするんですけどもうちょっとまあ身近に一緒に仕事している感を出したいなという ところで
196880	208040	デスクトップマスコットの方がより神話世界かなという感じですかねはいなるほど えっと例えば使い方としては何でしょうあの
208040	215800	ここのコードどんな感じって言ったら返してくれるみたいな そういう感じを期待している感じですかね
215800	224240	まあそこまで行けたら理想ですね現状はあのう科学家がかなりレガシーなものなので 入力フォームがやっぱりしょぼいんですよね
224240	232800	あーまあそうですね一行入力みたいなことしかできないので 簡単な沈もう投げて返してもらうくらいしか現状は
232800	240480	あの目指してないんですけどそのうち ui とかにもちょっと手入れていこうかなとは思って ます
240480	245720	ねー 時にはかなりシンプルな話ですねえっと
245720	254200	例えば c シャープでこういう配列の操作したかったらどうしたらいいんだっけ くらいなシンプルなことを聞いて回答をもらうとか
254200	260840	まあその程度がメインかなぁと思っています なるほどまあ確かに
260840	270360	いいですねうががかのいいところがやっぱりキャラクターの側がつくことで なんですかキャラクター性がより表層に出やすい
270360	278440	まあ端的に言うと愛着が湧きやすい そうあのというところだと思うのでまぁそことチャット gpt でまあ
278440	284720	a クリエイティブというとなんかちょっとあれかもしれないですけどえっと
284720	295200	まあ何でもって的確な回答を返してくれるそうですね というとかなり良さげですねはい
295280	306560	まだ作りかけで実際作ってみてそれと一緒に働いてみてっていうちょっとループが 回り出したらまた改めてこの場でを共有したいかなーって感じですかね
306560	314000	うんそうですねあのちょっと見せて欲しい感じがありますね非常に興味深いです はーい
314000	320560	はい枕はそんなところにして本編行きたいとおもいます はい
321400	329840	1点目 github ソフトウェア部品表の作成機能無償公開 脆弱性管理を容易にということで jd ネットジャパンの記事です
329840	340560	github japan は4月7日クラウド上のリポジトリからソフトウェアを構成するコンポーネント やライブラリーなどの状況を開発者が容易に把握管理できるソフトウェア部品表
340560	348360	かっこ s ボムの作成機能エクスポート s ボムを発表した github のすべてのクラウドリポジトリで無償利用できる
348360	356320	s ボムは企業や組織などで使われるソフトウェア脆弱性を悪用したサイバー攻撃が深刻な 被害をもたらしていることを踏まえて
356320	365520	2021年5月にジョーバイデン米大統領が署名した サイバーセキュリティ対策の強化を目指す大統領令に盛り込まれた
365520	373640	同例ではソフトウェア開発組織に対しソフトウェア製品を構成するコンポーネントや ライブラリーなどを部品と位置づけ
373640	382000	採用している部品の種類やバージョン更新状況といった情報を把握管理することを求めている エクスポート s ボム機能は
382000	393360	github のリポクラウドリポジトリへの読み取りアクセス権を持つユーザーがセルフサービスで利用でき リポジトリの依存グラフに設置されたボタンをクリックするだけで米商務省
393360	399200	電気通信情報局 に準拠した json ファイルの s ボムを作成できる
399200	406680	ファイルにはバージョンやライセンスなどプロジェクトの依存関係メタデータが保存され セキュリティやコンプライアンスのツールに取り込むことにより
406680	412040	脆弱性管理なども容易に行える ということで
412040	418720	セキュリティに関する面白いアップデートが来たので紹介です でこれがなんで
418720	429080	注目されているようなニュースなのかというとですね この s ボムというのは今までだとそのセキュリティに強い会社がかなり高い優勝ソフトウェアとして
429080	437360	出してきてたっていう世界だったんですけど ここに来て無償公開になったんで a 激進が走ってますね
437360	445720	今までだと多分 年間100万円とかライセンス費を払わないと使えなかった機能が無償化されたっていうところ
445720	451880	で あのまあ業界の人によってはドン引きしてる感じではあるんですけど
451880	457760	ね じゃあ従来こういうことってどう行われてきたのかというところだけ少し補足しておく
457760	465800	と ソフトウェアの開発においてまあいろんなオープンソースソフトウェアを多用していますと
465800	473040	オープンソフトオープンソースソフトウェア自身も別のオープンソースソフトウェアを 使っていたりライブラリを使っていたりということで
473040	483200	ツリー構造上になっています ソフトウェアを開発する際はその言語や開発プラットフォームごとにそのツリーを見ながら
483200	491000	必要なライブラリを取ってきて ビルドするという仕掛けがそれぞれありましたと
491000	493840	で それぞれある
493840	500440	結果 その特定のファイルを見ればSBOMがわかるってものがなくて
